State,Commuting Zone ID,School Expenditure per Student,Teacher Student Ratio,Test Score Percentile,High School Dropout Rate,County ID,Teenage Birth Rate,Mean Parent Income,Mean Child Income,Number of Children in Core Sample,State FIP
TN,100,5.185,,2.728,-0.015,47019,0.18100000000000002,50600.0,40600.0,1472.0,47
TN,100,5.185,,2.728,-0.015,47059,0.198,61200.0,34400.0,2022.0,47
TN,100,5.185,,2.728,-0.015,47073,0.174,54600.0,35300.0,1578.0,47
TN,100,5.185,,2.728,-0.015,47163,0.156,78100.0,41900.0,5210.0,47
TN,100,5.185,,2.728,-0.015,47171,0.174,59100.0,40400.0,553.0,47
TN,100,5.185,,2.728,-0.015,47179,0.161,72600.0,40100.0,3569.0,47
TN,100,5.185,,2.728,-0.015,51169,0.156,60800.0,43400.0,758.0,47
TN,100,5.185,,2.728,-0.015,51173,0.193,57100.0,44200.0,1145.0,47
TN,100,5.185,,2.728,-0.015,51191,0.145,65800.0,42900.0,1263.0,47
TN,100,5.185,,2.728,-0.015,51520,0.168,64700.0,40000.0,924.0,47
TN,200,4.506,,-3.4,-0.024,47029,0.23600000000000002,43000.0,31300.0,1131.0,47
TN,200,4.506,,-3.4,-0.024,47057,0.21100000000000002,44200.0,36600.0,700.0,47
TN,200,4.506,,-3.4,-0.024,47063,0.20600000000000002,62700.0,38000.0,2028.0,47
TN,200,4.506,,-3.4,-0.024,47089,0.193,57300.0,37500.0,1425.0,47
TN,200,4.506,,-3.4,-0.024,47155,0.188,59700.0,35700.0,2476.0,47
TN,301,5.614,15.1,-9.315,-0.005,21013,0.179,44900.0,34200.0,997.0,47
TN,301,5.614,15.1,-9.315,-0.005,47025,0.215,45400.0,41200.0,1039.0,47
TN,302,4.9,,-6.032,-0.011000000000000001,47001,0.13699999999999998,79600.0,45900.0,2502.0,47
TN,302,4.9,,-6.032,-0.011000000000000001,47009,0.155,71200.0,42600.0,3407.0,47
TN,302,4.9,,-6.032,-0.011000000000000001,47013,0.23399999999999999,45000.0,33900.0,1228.0,47
TN,302,4.9,,-6.032,-0.011000000000000001,47093,0.154,96900.0,44300.0,12268.0,47
TN,302,4.9,,-6.032,-0.011000000000000001,47105,0.175,64000.0,39400.0,1343.0,47
TN,302,4.9,,-6.032,-0.011000000000000001,47129,0.20800000000000002,45900.0,35500.0,980.0,47
TN,302,4.9,,-6.032,-0.011000000000000001,47145,0.17600000000000002,61000.0,39600.0,1548.0,47
TN,302,4.9,,-6.032,-0.011000000000000001,47173,0.21600000000000003,42100.0,32700.0,528.0,47
TN,4901,4.965,,-8.155,-0.009000000000000001,47023,0.191,51800.0,50100.0,472.0,47
TN,4901,4.965,,-8.155,-0.009000000000000001,47033,0.235,48000.0,35800.0,563.0,47
TN,4901,4.965,,-8.155,-0.009000000000000001,47053,0.228,58300.0,38700.0,1977.0,47
TN,4901,4.965,,-8.155,-0.009000000000000001,47069,0.249,44400.0,31600.0,1097.0,47
TN,4901,4.965,,-8.155,-0.009000000000000001,47113,0.20600000000000002,75400.0,37400.0,3463.0,47
TN,4902,4.9510000000000005,,-3.103,-0.005,47045,0.21600000000000003,62700.0,39900.0,1437.0,47
TN,4902,4.9510000000000005,,-3.103,-0.005,47075,0.289,43900.0,29900.0,838.0,47
TN,4902,4.9510000000000005,,-3.103,-0.005,47097,0.292,43700.0,33700.0,1163.0,47
TN,4903,3.92,,1.607,-0.022000000000000002,47039,0.18100000000000002,49000.0,42600.0,421.0,47
TN,4903,3.92,,1.607,-0.022000000000000002,47077,0.21100000000000002,55000.0,38300.0,943.0,47
TN,4903,3.92,,1.607,-0.022000000000000002,47135,0.20199999999999999,48300.0,32500.0,263.0,47
TN,5202,4.768,19.7,-15.57,0.02,28033,0.195,73400.0,43400.0,3655.0,47
TN,5202,4.768,19.7,-15.57,0.02,28093,0.28600000000000003,42600.0,32600.0,1630.0,47
TN,5202,4.768,19.7,-15.57,0.02,28137,0.239,52700.0,34600.0,1076.0,47
TN,5202,4.768,19.7,-15.57,0.02,28143,0.331,36600.0,23900.0,543.0,47
TN,5202,4.768,19.7,-15.57,0.02,47047,0.257,50000.0,32100.0,910.0,47
TN,5202,4.768,19.7,-15.57,0.02,47157,0.215,82600.0,37000.0,36943.0,47
TN,5202,4.768,19.7,-15.57,0.02,47167,0.213,60100.0,37800.0,2121.0,47
TN,5500,4.217,,-4.083,-0.01,47055,0.213,66500.0,42100.0,1170.0,47
TN,5500,4.217,,-4.083,-0.01,47081,0.218,54400.0,35600.0,817.0,47
TN,5500,4.217,,-4.083,-0.01,47101,0.20199999999999999,50300.0,39600.0,393.0,47
TN,5500,4.217,,-4.083,-0.01,47117,0.187,72300.0,40100.0,1085.0,47
TN,5500,4.217,,-4.083,-0.01,47119,0.19699999999999998,77900.0,39700.0,3122.0,47
TN,5600,5.088,,-6.695,0.013999999999999999,47015,0.155,56800.0,42700.0,485.0,47
TN,5600,5.088,,-6.695,0.013999999999999999,47021,0.184,72000.0,41100.0,1347.0,47
TN,5600,5.088,,-6.695,0.013999999999999999,47037,0.201,96800.0,39100.0,17865.0,47
TN,5600,5.088,,-6.695,0.013999999999999999,47111,0.198,46400.0,39800.0,575.0,47
TN,5600,5.088,,-6.695,0.013999999999999999,47147,0.201,67500.0,41300.0,2282.0,47
TN,5600,5.088,,-6.695,0.013999999999999999,47149,0.177,80700.0,43300.0,6268.0,47
TN,5600,5.088,,-6.695,0.013999999999999999,47159,0.198,58900.0,42100.0,647.0,47
TN,5600,5.088,,-6.695,0.013999999999999999,47165,0.165,82600.0,46200.0,4896.0,47
TN,5600,5.088,,-6.695,0.013999999999999999,47169,0.23,52400.0,39500.0,270.0,47
TN,5600,5.088,,-6.695,0.013999999999999999,47187,0.066,173700.0,59100.0,5246.0,47
TN,5600,5.088,,-6.695,0.013999999999999999,47189,0.161,82400.0,45700.0,3036.0,47
TN,5700,4.669,,-2.54,-0.012,47003,0.228,61300.0,36700.0,1388.0,47
TN,5700,4.669,,-2.54,-0.012,47031,0.171,67400.0,44800.0,1990.0,47
TN,5700,4.669,,-2.54,-0.012,47051,0.19399999999999998,66700.0,41600.0,1340.0,47
TN,5800,4.441,,2.489,-0.013000000000000001,47005,0.184,49000.0,36100.0,626.0,47
TN,5800,4.441,,2.489,-0.013000000000000001,47017,0.203,52400.0,38100.0,1238.0,47
TN,5800,4.441,,2.489,-0.013000000000000001,47043,0.185,72100.0,41700.0,1712.0,47
TN,5800,4.441,,2.489,-0.013000000000000001,47079,0.23199999999999998,59300.0,37400.0,1108.0,47
TN,5800,4.441,,2.489,-0.013000000000000001,47085,0.182,62700.0,40700.0,689.0,47
TN,5900,5.297999999999999,17.3,-0.633,-0.004,21047,0.233,58600.0,38100.0,2508.0,47
TN,5900,5.297999999999999,17.3,-0.633,-0.004,21219,0.196,51600.0,37500.0,411.0,47
TN,5900,5.297999999999999,17.3,-0.633,-0.004,21221,0.195,57700.0,39900.0,389.0,47
TN,5900,5.297999999999999,17.3,-0.633,-0.004,47083,0.24600000000000002,58900.0,41600.0,280.0,47
TN,5900,5.297999999999999,17.3,-0.633,-0.004,47125,0.18899999999999997,63500.0,39000.0,4498.0,47
TN,5900,5.297999999999999,17.3,-0.633,-0.004,47161,0.163,49700.0,41200.0,420.0,47
TN,6301,4.085,,-1.5190000000000001,-0.015,47041,0.225,51300.0,39900.0,624.0,47
TN,6301,4.085,,-1.5190000000000001,-0.015,47177,0.22699999999999998,59700.0,38100.0,1502.0,47
TN,6301,4.085,,-1.5190000000000001,-0.015,47185,0.225,53000.0,37500.0,844.0,47
TN,6302,5.8420000000000005,,2.41,-0.027000000000000003,47087,0.196,43000.0,34800.0,275.0,47
TN,6302,5.8420000000000005,,2.41,-0.027000000000000003,47133,0.138,48200.0,38100.0,625.0,47
