STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
1,1,Autauga, AL,54571,32.500389,-86.494165
1,3,Baldwin, AL,182265,30.548923,-87.762381
1,5,Barbour, AL,27457,31.844036,-85.310038
1,7,Bibb, AL,22915,33.030921,-87.127659
1,9,Blount, AL,57322,33.955243,-86.591491
1,11,Bullock, AL,10914,32.116327,-85.701192
1,13,Butler, AL,20947,31.773539,-86.65355
1,15,Calhoun, AL,118572,33.72546,-85.819442
1,17,Chambers, AL,34215,32.860439,-85.266474
1,19,Cherokee, AL,25989,34.179333,-85.629194
1,21,Chilton, AL,43643,32.877547,-86.687406
1,23,Choctaw, AL,13859,32.016562,-88.264164
1,25,Clarke, AL,25833,31.685685,-87.815673
1,27,Clay, AL,13932,33.272412,-85.820227
1,29,Cleburne, AL,14972,33.62977,-85.494315
1,31,Coffee, AL,49948,31.354433,-85.904715
1,33,Colbert, AL,54428,34.723385,-87.685151
1,35,Conecuh, AL,13228,31.418674,-86.996483
1,37,Coosa, AL,11539,32.975932,-86.155035
1,39,Covington, AL,37765,31.282449,-86.410955
1,41,Crenshaw, AL,13906,31.743487,-86.29708
1,43,Cullman, AL,80406,34.162362,-86.831859
1,45,Dale, AL,50251,31.383346,-85.641269
1,47,Dallas, AL,43820,32.408815,-87.034955
1,49,DeKalb, AL,71109,34.45511,-85.817208
1,51,Elmore, AL,79303,32.559652,-86.225647
1,53,Escambia, AL,38319,31.088737,-87.282053
1,55,Etowah, AL,104430,34.013693,-86.025393
1,57,Fayette, AL,17241,33.726422,-87.770355
1,59,Franklin, AL,31704,34.460481,-87.793594
1,61,Geneva, AL,26790,31.09426,-85.788849
1,63,Greene, AL,9045,32.830505,-87.924
1,65,Hale, AL,15760,32.775804,-87.626084
1,67,Henry, AL,17302,31.478593,-85.268828
1,69,Houston, AL,101547,31.20455,-85.391221
1,71,Jackson, AL,53227,34.731984,-85.938698
1,73,Jefferson, AL,658466,33.518601,-86.814688
1,75,Lamar, AL,14564,33.762769,-88.109649
1,77,Lauderdale, AL,92709,34.866179,-87.608759
1,79,Lawrence, AL,34339,34.543683,-87.272414
1,81,Lee, AL,140247,32.588092,-85.345833
1,83,Limestone, AL,82782,34.815612,-86.938972
1,85,Lowndes, AL,11299,32.162415,-86.618688
1,87,Macon, AL,21452,32.425739,-85.715007
1,89,Madison, AL,334811,34.746392,-86.613232
1,91,Marengo, AL,21027,32.340479,-87.800648
1,93,Marion, AL,30776,34.111797,-87.8743
1,95,Marshall, AL,93019,34.311974,-86.293279
1,97,Mobile, AL,412992,30.683993,-88.170637
1,99,Monroe, AL,23068,31.505611,-87.360894
1,101,Montgomery, AL,229363,32.346175,-86.243797
1,103,Morgan, AL,119490,34.514252,-86.930781
1,105,Perry, AL,10591,32.581066,-87.369219
1,107,Pickens, AL,19746,33.292973,-88.066472
1,109,Pike, AL,32899,31.787277,-85.948647
1,111,Randolph, AL,22913,33.257607,-85.427266
1,113,Russell, AL,52947,32.421972,-85.062843
1,115,St. Clair, AL,83593,33.660628,-86.369107
1,117,Shelby, AL,195085,33.290719,-86.737978
1,119,Sumter, AL,13763,32.57442,-88.232646
1,121,Talladega, AL,82291,33.372083,-86.169238
1,123,Tallapoosa, AL,41616,32.85306,-85.864503
1,125,Tuscaloosa, AL,194656,33.214154,-87.520229
1,127,Walker, AL,67023,33.834858,-87.253922
1,129,Washington, AL,17581,31.410368,-88.18612
1,131,Wilcox, AL,11670,31.999753,-87.380407
1,133,Winston, AL,24484,34.163824,-87.415693
2,13,Aleutians East, AK,3141,54.860151,-162.901536
2,16,Aleutians West, AK,5561,54.023571,-168.292885
2,20,Anchorage, AK,291826,61.192232,-149.793182
2,50,Bethel, AK,17013,60.679946,-162.151263
2,60,Bristol Bay, AK,997,58.735464,-156.834047
2,68,Denali, AK,1826,63.882845,-149.032949
2,70,Dillingham, AK,4847,59.136256,-158.718472
2,90,Fairbanks North Star, AK,97581,64.831552,-147.624018
2,100,Haines, AK,2508,59.264125,-135.559897
2,105,Hoonah-Angoon, AK,2150,58.078282,-135.384163
2,110,Juneau, AK,31275,58.358516,-134.530605
2,122,Kenai Peninsula, AK,55400,60.292592,-151.064475
2,130,Ketchikan Gateway, AK,13477,55.367858,-131.678527
2,150,Kodiak Island, AK,13592,57.779137,-152.460881
