County ID,Commuting Zone ID,Teenage Birth Rate,Mean Parent Income,Mean Child Income,Number of Children in Core Sample
1001,11101,0.178,64000,45200,1846
1003,11001,0.17,75300,42500,5061
1005,10301,0.238,50000,32700,1129
1007,10801,0.225,49600,38300,841
1009,10700,0.204,57300,40900,1224
1011,9800,0.277,36700,26800,514
1013,11101,0.205,44900,36000,1051
1015,9600,0.21,59100,38300,4985
1017,9600,0.251,48900,31800,1489
1019,6600,0.273,50600,34400,683
1021,10700,0.227,53100,38800,1259
1023,10802,0.193,48700,42300,687
1025,11001,0.214,52300,38500,1425
1027,9500,0.23,47300,36700,540
1029,9600,0.232,50300,43800,493
1031,10302,0.19,64700,43700,1772
1033,6200,0.214,60700,41100,1986
1035,11002,0.213,42600,32900,635
1037,9500,0.245,39900,33200,474
1039,11102,0.213,53400,45700,1534
1041,11102,0.194,43600,39500,512
1043,10700,0.181,58600,41800,2753
1045,10302,0.205,55100,40100,1946
1047,10801,0.243,46200,31100,2503
1049,6100,0.22,55900,41900,2215
1051,11101,0.183,60500,40300,2674
1053,11002,0.232,55400,38200,1506
1055,6100,0.201,59500,39400,3580
1057,10600,0.25,50300,44100,655
1059,6200,0.168,57600,43200,1170
1061,10302,0.215,47900,36500,962
1063,10802,0.24,34600,27200,508
1065,10801,0.24,45700,30000,912
1067,10302,0.207,52800,34500,666
1069,10302,0.186,70300,39500,3647
1071,6100,0.194,55200,43100,2143
1073,10700,0.168,85800,41700,26772
1075,10600,0.169,45600,43300,669
1077,6200,0.156,74000,47800,3182
1079,6000,0.221,56800,45100,1064
1081,9800,0.173,70700,43900,3272
1083,6000,0.183,66700,49800,2154
1085,11101,0.232,34400,26000,639
1087,9800,0.247,37700,26800,825
1089,6000,0.158,86300,43900,9941
1091,10802,0.192,52800,37100,965
1093,10600,0.201,55700,45600,1053
1095,6100,0.229,59900,41300,3336
1097,11001,0.214,63900,39400,16553
1099,11002,0.222,57100,36200,1095
1101,11101,0.196,72300,36900,9031
1103,6000,0.177,76000,43900,4652
1105,10801,0.245,31900,28200,543
1107,10501,0.25,41000,32500,911
1109,11102,0.228,54400,37300,1153
1111,9600,0.251,46600,34500,890
1113,9701,0.241,49700,31600,2365
1115,10700,0.208,60600,40100,2076
1117,10700,0.116,112800,52600,4593
1119,10802,0.249,38800,27300,674
1121,9500,0.249,50300,37900,3118
1123,9500,0.194,49200,37600,1452
1125,10801,0.187,73600,40900,5735
1127,10600,0.215,57400,41400,2904
1129,11001,0.214,53700,43200,879
1131,11001,0.214,34600,26900,771
1133,10600,0.203,52900,39400,1049
2013,34101,,,,
2016,34114,,,,
2020,34102,0.12,108000,56100,10071
2050,34112,0.199,61100,32100,647
2060,34104,,,,
2068,34115,,,,
2070,34107,,,,
2090,34115,0.129,91800,53900,3491
2100,34109,,,,
2110,34109,0.1,102600,60400,1308
2122,34102,0.119,82400,54000,2487
2130,34111,0.142,93200,48900,662
2150,34108,0.104,89100,49600,601
2164,34107,,,,
2170,34102,0.119,82800,53900,2768
2180,34106,0.236,67800,33400,363
