State,Commuting Zone ID,School Expenditure per Student,Teacher Student Ratio,Test Score Percentile,High School Dropout Rate
TN,100,5.185,,2.728,-0.015
TN,200,4.506,,-3.4,-0.024
TN,301,5.614,15.1,-9.315,-0.005
TN,302,4.9,,-6.032,-0.011
NC,401,5.463,15.4,-2.297,0.023
VA,402,5.74,,4.227,
NC,500,5.008,16.7,-3.716,0.016
NC,601,5.296,16.2,6.698,0.021
VA,602,5.377,12.3,4.9,
SC,700,5.421,15.9,-1.009,
NC,800,5.251,16.4,2.412,0.03
NC,900,5.674,17,-2.291,0.023
NC,1001,5.264,13.9,9.978,0.013
NC,1002,4.926,15.7,5.556,0.018
NC,1100,5.205,16.7,3.202,0.026
NC,1201,5.199,15.8,4.11,0.034
NC,1202,5.622,14.6,3.849,0.022
NC,1203,5.649,16.2,9.045,0.024
NC,1204,5.167,15.7,1.551,0.017
SC,1301,5.493,14.9,-10.92,0.019
SC,1302,5.71,15.9,-2.106,-0.018
NC,1400,4.866,16.3,-5.484,0.024
NC,1500,5.379,16.1,-0.153,0.02
NC,1600,5.084,15.8,-6.231,0.035
NC,1701,5.73,16,-0.359,
NC,1702,5.432,16.5,-10.284,0.042
NC,1800,4.786,16.3,-4.023,0.015
NC,1900,5.023,16.3,0.758,0.024
VA,2000,5.897,15.3,5.39,
NC,2100,5.723,14.2,-0.067,0.026
VA,2200,5.389,,4.092,-0.003
VA,2300,5.263,,3.333,
VA,2400,5.919,,4.649,
VA,2500,5.966,,3.348,
NC,2600,5.356,16.5,-11.577,0.012
MS,2700,4.627,18.4,-3.592,0.002
MS,2800,4.429,17.9,-9.186,0.001
MS,2900,4.261,16.8,-7.941,-0.005
MS,3001,4.336,19.8,-13.492,-0.025
MS,3002,4.664,20.1,-23.049,0.041
MS,3003,4.618,19.2,-15.257,0.005
MS,3101,4.398,17.8,-16.041,0.011
MS,3102,4.338,18.3,-8.088,0.016
LA,3201,4.508,16.4,1.447,0.014
MS,3202,4.645,18.6,-19.332,0.012
MS,3203,4.492,18.3,-18.28,0.03
LA,3300,5.098,17.6,-10.714,0.053
LA,3400,4.086,17,-11.857,0.038
LA,3500,4.793,17.1,-11.033,0.041
LA,3600,4.587,16.9,-6.213,0.042
LA,3700,4.854,16.3,-1.394,0.014
LA,3800,4.335,17,-6.928,0.031
LA,3901,4.623,17,-6.315,0.046
LA,3902,4.4,16.2,-5.451,0.055
AR,4001,4.759,16.6,-11.371,0
LA,4002,4.655,17.4,-12.555,0.049
LA,4003,4.639,15.5,-4.971,0.02
LA,4004,4.458,16,-9.206,0.027
AR,4101,4.643,17.4,-11.593,0.009
AR,4102,5.002,18,-15.882,0.009
AR,4103,4.725,16.6,-9.728,0.005
AR,4200,5.365,17.4,-9.092,0.007
AR,4301,4.673,15.9,-12.254,0.013
AR,4302,4.533,17.1,3.54,0.007
KY,4401,6.015,16.7,-2.237,0.016
KY,4402,5.932,15.9,-0.157,-0.003
KY,4501,6.784,14.8,-5.552,0.03
KY,4502,6.442,15.2,-7.906,0.01
KY,4601,5.746,15.5,0.819,0.006
KY,4602,5.814,16.6,-2.443,0.01
MS,4701,4.481,18.5,-17.145,0.042
MS,4702,4.294,18.5,-17.675,-0.001
MS,4800,4.344,18.7,-20.082,0.011
TN,4901,4.965,,-8.155,-0.009
TN,4902,4.951,,-3.103,-0.005
TN,4903,3.92,,1.607,-0.022
MS,5000,4.352,17.9,-8.12,-0.008
MS,5100,4.329,16.7,-1.45,-0.016
MS,5201,4.111,18.4,-1.196,-0.014
TN,5202,4.768,19.7,-15.57,0.02
AR,5300,4.632,17.2,-14.367,0.024
KY,5401,5.925,17.3,3.097,-0.008
KY,5402,5.62,15.4,-1.207,-0.006
TN,5500,4.217,,-4.083,-0.01
TN,5600,5.088,,-6.695,0.014
TN,5700,4.669,,-2.54,-0.012
TN,5800,4.441,,2.489,-0.013
TN,5900,5.298,17.3,-0.633,-0.004
AL,6000,5.14,16.5,-7.679,-0.006
AL,6100,4.591,17.6,-7.767,0.009
AL,6200,4.862,16.6,-3.315,-0.007
TN,6301,4.085,,-1.519,-0.015
TN,6302,5.842,,2.41,-0.027
TN,6401,4.825,18.1,-7.888,0.026
TN,6402,4.418,,0.409,-0.004
GA,6501,5.193,17,-3.837,0.021
TN,6502,4.251,,-4.013,-0.014
GA,6600,5.324,16.3,-4.992,0.035
FL,6700,6.228,18.3,-2.514,-0.001
FL,6800,5.569,18.4,-7.088,0.025
FL,6900,6.457,18.9,-1.082,0.004
FL,7000,6.895,21.3,-6.999,0.006
FL,7100,6.852,19.4,-5.311,-0.008
FL,7200,6.896,18.6,-4.293,0.023
FL,7300,5.628,18,9.036,-0.015
FL,7400,5.695,19.9,-2.66,0.004
FL,7500,5.831,17.6,0.434,-0.025
FL,7600,5.353,19.9,-0.763,0.032
FL,7700,5.592,18.8,-5.551,-0.009
FL,7800,5.344,17.6,1.125,-0.003
FL,7900,5.897,18.2,-1.607,0.016
SC,8000,5.429,17.2,-8.166,-0.009
SC,8100,5.947,15.3,-3.569,-0.007
SC,8201,5.594,15,-17.549,-0.017
SC,8202,5.042,17.1,-3.673,-0.006
SC,8300,5.145,17,-1.21,-0.01
GA,8401,5.214,18.2,-6.018,0.011
GA,8402,5.394,16.5,-5.032,0.037
GA,8501,5.475,15.6,-4.932,0.049
GA,8502,5.945,15.5,-4.966,0.068
GA,8503,5.177,16.5,-3.559,0.041
GA,8601,5.889,16,-2.098,0.047
GA,8602,5.777,16.4,-8.216,0.054
GA,8701,5.188,17,-3.211,0.022
GA,8702,5.27,16.2,-0.486,0.03
GA,8800,5.81,16.6,-9.082,0.038
GA,8900,5.704,17.3,-6.074,0.048
GA,9001,5.256,16.3,-1.667,0.027
GA,9002,5.526,16.8,-6.814,0.013
GA,9003,6.142,16.5,-2.796,0.031
GA,9100,6.352,18.1,-7.863,0.026
GA,9200,4.83,17.6,-6.834,0.089
GA,9301,5.547,16.9,-6.911,0.048
GA,9302,5.148,15.5,0.165,0.029
GA,9400,5.735,16.8,-7.318,0.022
AL,9500,4.659,17.8,-14.074,-0.004
GA,9600,5.261,18.1,-7.685,0.012
GA,9701,5.365,17.4,-9.339,0.025
GA,9702,5.941,17,-10.217,0.073
AL,9800,5.021,17,-14.15,-0.019
FL,9900,6.107,17.7,2.693,-0.008
FL,10000,5.882,18.4,4.031,-0.024
GA,10101,5.082,16.5,,0.04
GA,10102,5.375,16.3,-5.13,0.018
GA,10200,5.742,17.5,-4.581,0.046
GA,10301,5.587,15.9,-17.626,0.01
AL,10302,4.822,17.2,-11.823,0.006
MS,10400,4.355,17.4,-9.971,0.014
MS,10501,5.113,19.3,-13.643,0
MS,10502,4.802,17.6,-14.345,0.007
AL,10600,4.647,17,-5.22,-0.006
AL,10700,5.139,17.3,-12.133,-0.003
AL,10801,4.862,16.9,-19.805,0
AL,10802,5.282,16.9,-20.059,-0.007
FL,10900,5.409,19.2,5.39,-0.01
AL,11001,4.504,17.8,-11.938,0
AL,11002,4.63,17.6,-16.944,0.004
AL,11101,4.424,17.9,-17.887,0.005
AL,11102,4.635,16.7,-10.041,0.006
VA,11201,5.618,15.2,-2.029,-0.015
WV,11202,6.846,14.9,-8.757,-0.006
VA,11203,5.79,,7.398,-0.019
VA,11301,5.539,,-2.82,-0.012
MD,11302,6.872,18,-2.44,0.017
VA,11303,4.996,,1.402,
DC,11304,7.694,18.9,-6.882,-0.002
MI,11401,5.961,18.3,8.53,
MI,11402,6.238,17.3,7.498,-0.033
MI,11403,6.246,17.2,-1.094,
MI,11500,5.998,20.3,-3.269,
MI,11600,7.582,20.9,-5.393,
MI,11700,7.619,19.1,-1.481,
MI,11800,7.39,18.3,2.197,
MI,11900,6.193,20.1,-1.907,
MI,12001,6.059,19.4,1.666,
MI,12002,6.004,18.3,6.417,
MI,12100,6.573,18.9,-2.101,
MI,12200,7.234,19.8,0.369,
MI,12301,6.314,18.8,5.284,
MI,12302,6.357,19.1,6.258,
MI,12401,5.684,19.2,-1.233,
MI,12402,5.917,18.8,-0.154,
OH,12501,5.71,18.9,6.093,
OH,12502,4.805,20.5,7.924,
IN,12600,7.067,18,-1.393,
OH,12701,6.243,19.1,5.432,-0.015
KY,12702,6.08,16.3,-3.84,-0.005
IN,12800,6.15,19.5,3.411,
KY,12901,5.984,16.6,-3.656,0.015
KY,12902,5.556,15.8,-6.92,0.014
KY,12903,5.847,16,-3.142,0.009
KY,13000,5.676,18,-1.755,-0.006
KY,13101,5.998,17.9,-6.336,0.02
IN,13102,6.341,17.3,-0.717,0.008
KY,13103,6.317,18.2,-1.755,-0.002
KY,13200,6.026,16.7,9.696,-0.015
OH,13300,5.355,19.2,11.407,
OH,13400,5.109,19.7,13.717,
OH,13501,6.145,18.8,2.054,
OH,13502,5.048,19.6,13.318,
IN,13600,6.498,18.3,-2.923,
IN,13700,6.437,18.8,-4.199,
IN,13800,6.961,18.4,1.626,
IN,13900,6.665,17.8,0.629,
IN,14000,6.655,17.2,-3.912,
IN,14100,6.491,19.1,-0.56,
IN,14200,6.991,18.8,0.549,
IN,14300,6.341,19.3,0.477,
IN,14400,6.45,17.3,-0.317,
IN,14500,6.3,18.1,0.095,0.021
IN,14600,6.01,18.9,1.814,
IN,14700,6.535,18.1,0.957,0.014
IL,14801,4.303,15.7,9.889,0.007
IN,14802,5.712,16.7,4.262,0.035
IN,14900,7.061,20.3,-3.78,
OH,15000,5.563,19.3,12.753,
OH,15100,5.833,19,7.879,
OH,15200,6.958,18.4,5.208,
WV,15300,5.851,16.9,-0.284,-0.003
OH,15400,4.95,19.2,7.247,
OH,15500,5.935,17.5,8.384,-0.009
WV,15600,6.139,16.5,1.849,-0.006
OH,15700,4.927,20.4,3.963,
OH,15800,5.361,17.3,0.706,-0.008
OH,15900,6.531,19,3.69,
OH,16000,5.248,18.9,4.968,
PA,16100,6.981,17.8,6.352,-0.013
PA,16200,7.147,18.1,7.231,-0.015
PA,16300,8.199,18.1,5.035,-0.01
OH,16400,6.079,19.2,6.568,-0.016
PA,16500,7.642,17.7,5.037,-0.008
VA,16600,6.208,16.6,3.084,-0.002
WV,16701,5.979,14.7,-6.483,-0.017
WV,16702,6.507,16,-6.397,-0.008
WV,16703,6.238,16.1,-10.275,-0.011
WV,16801,6.099,16,-6.88,-0.002
WV,16802,6.065,14.8,-6.952,-0.008
WV,16901,6.254,15.7,-9.146,0.006
WV,16902,6.717,14.8,-10.746,0.001
KY,17000,6.46,15.4,-2.262,0.001
KY,17100,6.436,16.5,-2.126,0.001
VA,17200,5.499,15.9,5.775,-0.006
VA,17300,6.003,,3.633,
PA,17400,6.288,17.4,1.236,0.007
MD,17501,6.553,16,-2.043,-0.006
VA,17502,6.326,16.6,0.058,-0.003
VA,17600,6.177,,-0.367,
NY,17700,8.59,15.8,1.814,-0.016
NY,17800,9.284,14,3.69,-0.021
NY,17900,8.034,15.9,7.263,-0.015
NY,18000,9.08,15.7,3.245,-0.016
NY,18100,8.67,16,0.774,-0.002
NY,18201,8.316,16,3.707,-0.011
PA,18202,8.325,17.5,7.407,-0.017
NY,18300,9.16,15.9,5.444,-0.012
NY,18400,9.433,14.6,2.784,-0.008
NY,18500,9.628,14.3,2.667,-0.007
NY,18600,8.921,15.8,4.01,-0.011
PA,18700,6.516,18.1,5.346,-0.007
PA,18800,7.373,18.6,5.554,-0.011
PA,18900,6.937,17.4,4.766,-0.007
PA,19000,7.449,19.3,0.125,-0.007
PA,19100,7.694,19.1,2.944,-0.001
PA,19200,7.256,17.9,0.608,-0.002
NY,19300,9.084,16.2,2.093,-0.012
NY,19400,9.949,18.7,-1.449,0.013
NJ,19500,,,5.938,-0.012
NJ,19600,,15.4,-0.599,-0.005
PA,19700,7.967,18.7,-3.101,0.007
DE,19800,7.584,17.7,-3.338,0.006
DE,19901,6.835,16.7,5.869,0.001
MD,19902,6.562,17.7,0.006,-0.001
VA,19903,5.638,,5.172,0.023
ME,20001,6.669,15.7,3.767,-0.007
ME,20002,7.988,13.7,4.963,-0.009
ME,20003,6.823,15.7,3.045,-0.027
ME,20100,6.85,15.9,2.793,-0.009
VT,20200,9.101,14.8,6.641,
VT,20301,7.825,13.8,3.676,
VT,20302,8.352,14.6,6.585,
RI,20401,7.203,14.8,-2.206,0.008
MA,20402,8.164,,,
MA,20403,,,17.311,-0.001
MA,20500,7.89,,4.084,0.001
NH,20600,6.546,16.8,3.63,0.017
NH,20700,8.513,14.3,1.881,0.015
MA,20800,7.855,,-0.369,0.007
CT,20901,8.888,14.9,-4.993,
MA,20902,8.124,15.6,4.525,0.015
WI,21001,7.119,16.3,7.588,
MI,21002,6.434,18,7.375,
MI,21003,6.902,15.4,8.369,
WI,21004,7.827,16.1,2.187,
WI,21101,7.359,15.7,6.642,-0.027
WI,21102,8.83,16.3,7.446,
MN,21201,5.951,18.1,6.678,-0.02
MN,21202,6.256,15.8,7.455,-0.026
MN,21301,6.464,17.3,6.834,-0.014
MN,21302,7.047,17.5,6.546,0.002
MN,21400,6.503,18.1,6.546,-0.013
MN,21501,8.069,18.7,0.449,0.012
MN,21502,6.613,16.7,2.736,0.002
MN,21600,6.687,16.9,9.205,0.018
MN,21701,6.66,18.3,7.357,-0.009
MN,21702,6.479,18,3.989,0.012
IA,21801,5.795,14.2,5.24,-0.026
IA,21802,5.926,14.8,10.219,-0.025
IA,21900,6.155,15.4,-1.602,-0.015
IA,22001,6.214,17.2,1.667,-0.011
IA,22002,5.982,14.5,3.677,-0.028
IA,22100,5.944,16.5,2.004,0
IA,22200,5.973,16.8,3.361,-0.021
IA,22300,6.09,15.6,3.07,-0.01
WI,22400,6.612,17.1,6.404,-0.015
WI,22500,6.88,17.1,4.955,-0.026
WI,22601,6.849,16.4,3.521,
WI,22602,7.075,15.4,2.282,-0.019
WI,22700,7.103,16.5,4.856,-0.028
WI,22800,7.462,16.3,5.725,-0.022
WI,22900,7.258,15.2,3.665,-0.026
WI,23000,8.237,14.8,8.85,
WI,23100,7.953,15.2,3.277,
IA,23200,5.516,15.8,3.928,-0.013
IL,23301,4.034,17.3,9.104,0.016
IL,23302,4.165,18.5,7.493,-0.015
IL,23400,4.954,17.7,7.534,0.002
IL,23500,4.526,17.8,2.445,0.011
IA,23600,5.634,15.4,1.478,-0.008
IL,23700,4.541,18.1,5.43,0.031
IL,23801,5.271,17.1,0.599,-0.001
IA,23802,6.098,15.4,5.201,-0.006
IL,23900,4.831,16.7,4.328,0.011
WI,24000,6.816,16.5,-4.058,-0.012
WI,24100,7.74,17,-4.162,0.001
IL,24200,4.785,18.7,3.27,0.002
IL,24300,6.148,18.5,-7.514,0.035
IL,24400,5.363,18.1,-1.328,0.008
MO,24500,5.264,15.6,2.588,-0.008
MO,24600,4.863,16.4,0.327,-0.004
MO,24701,6.356,17.2,-5.332,0.004
MO,24702,5.536,15.3,-3.478,0.01
IL,24801,4.401,18.1,2.465,0.007
