School Expenditure/Student,Teacher-Student Ratio,Test Score Percentile,Mean Parent Income,HS Dropout Rate,Teenage Birth Rates
4.424,17.9,-17.887,64000,0.005,0.178
4.424,17.9,-17.887,44900,0.005,0.205
4.424,17.9,-17.887,60500,0.005,0.183
4.424,17.9,-17.887,34400,0.005,0.232
4.424,17.9,-17.887,72300,0.005,0.196
4.504,17.8,-11.938,75300,0,0.17
4.504,17.8,-11.938,52300,0,0.214
4.504,17.8,-11.938,63900,0,0.214
4.504,17.8,-11.938,53700,0,0.214
4.504,17.8,-11.938,34600,0,0.214
5.587,15.9,-17.626,50000,0.01,0.238
5.587,15.9,-17.626,37900,0.01,0.274
5.587,15.9,-17.626,,0.01,
5.587,15.9,-17.626,48900,0.01,0.257
5.587,15.9,-17.626,,0.01,
5.587,15.9,-17.626,36500,0.01,0.234
4.862,16.9,-19.805,49600,0,0.225
4.862,16.9,-19.805,46200,0,0.243
4.862,16.9,-19.805,45700,0,0.24
4.862,16.9,-19.805,31900,0,0.245
4.862,16.9,-19.805,73600,0,0.187
5.139,17.3,-12.133,57300,-0.003,0.204
5.139,17.3,-12.133,53100,-0.003,0.227
5.139,17.3,-12.133,58600,-0.003,0.181
5.139,17.3,-12.133,85800,-0.003,0.168
5.139,17.3,-12.133,60600,-0.003,0.208
5.139,17.3,-12.133,112800,-0.003,0.116
5.021,17,-14.15,36700,-0.019,0.277
5.021,17,-14.15,70700,-0.019,0.173
5.021,17,-14.15,37700,-0.019,0.247
5.261,18.1,-7.685,59100,0.012,0.21
5.261,18.1,-7.685,48900,0.012,0.251
5.261,18.1,-7.685,50300,0.012,0.232
5.261,18.1,-7.685,46600,0.012,0.251
5.261,18.1,-7.685,65800,0.012,0.214
5.261,18.1,-7.685,75500,0.012,0.169
5.261,18.1,-7.685,53600,0.012,0.24
5.261,18.1,-7.685,47300,0.012,0.263
5.261,18.1,-7.685,70300,0.012,0.232
5.324,16.3,-4.992,50600,0.035,0.273
5.324,16.3,-4.992,66000,0.035,0.222
5.324,16.3,-4.992,47800,0.035,0.259
5.324,16.3,-4.992,67800,0.035,0.198
5.324,16.3,-4.992,57100,0.035,0.234
5.324,16.3,-4.992,54600,0.035,0.24
5.324,16.3,-4.992,49700,0.035,0.258
5.324,16.3,-4.992,92000,0.035,0.234
5.282,16.9,-20.059,48700,-0.007,0.193
5.282,16.9,-20.059,34600,-0.007,0.24
5.282,16.9,-20.059,52800,-0.007,0.192
5.282,16.9,-20.059,38800,-0.007,0.249
4.659,17.8,-14.074,47300,-0.004,0.23
4.659,17.8,-14.074,39900,-0.004,0.245
4.659,17.8,-14.074,50300,-0.004,0.249
4.659,17.8,-14.074,49200,-0.004,0.194
4.822,17.2,-11.823,64700,0.006,0.19
4.822,17.2,-11.823,55100,0.006,0.205
4.822,17.2,-11.823,47900,0.006,0.215
4.822,17.2,-11.823,52800,0.006,0.207
4.822,17.2,-11.823,70300,0.006,0.186
4.862,16.6,-3.315,60700,-0.007,0.214
4.862,16.6,-3.315,57600,-0.007,0.168
4.862,16.6,-3.315,74000,-0.007,0.156
4.862,16.6,-3.315,54400,-0.007,0.199
4.862,16.6,-3.315,47700,-0.007,0.168
4.63,17.6,-16.944,42600,0.004,0.213
4.63,17.6,-16.944,55400,0.004,0.232
4.63,17.6,-16.944,57100,0.004,0.222
4.635,16.7,-10.041,53400,0.006,0.213
4.635,16.7,-10.041,43600,0.006,0.194
4.635,16.7,-10.041,54400,0.006,0.228
4.591,17.6,-7.767,55900,0.009,0.22
4.591,17.6,-7.767,59500,0.009,0.201
4.591,17.6,-7.767,55200,0.009,0.194
4.591,17.6,-7.767,59900,0.009,0.229
4.647,17,-5.22,50300,-0.006,0.25
4.647,17,-5.22,45600,-0.006,0.169
4.647,17,-5.22,55700,-0.006,0.201
4.647,17,-5.22,57400,-0.006,0.215
4.647,17,-5.22,52900,-0.006,0.203
5.14,16.5,-7.679,56800,-0.006,0.221
5.14,16.5,-7.679,66700,-0.006,0.183
5.14,16.5,-7.679,86300,-0.006,0.158
5.14,16.5,-7.679,76000,-0.006,0.177
5.14,16.5,-7.679,60300,-0.006,0.178
5.113,19.3,-13.643,41000,0,0.25
5.113,19.3,-13.643,62100,0,0.221
5.113,19.3,-13.643,36700,0,0.239
5.365,17.4,-9.339,49700,0.025,0.241
5.365,17.4,-9.339,,0.025,
