Mean Parent Income,Mean Child Income
64000,45200
75300,42500
50000,32700
49600,38300
57300,40900
36700,26800
44900,36000
59100,38300
48900,31800
50600,34400
53100,38800
48700,42300
52300,38500
47300,36700
50300,43800
64700,43700
60700,41100
42600,32900
39900,33200
53400,45700
43600,39500
58600,41800
55100,40100
46200,31100
55900,41900
60500,40300
55400,38200
59500,39400
50300,44100
57600,43200
47900,36500
34600,27200
45700,30000
52800,34500
70300,39500
55200,43100
85800,41700
45600,43300
74000,47800
56800,45100
70700,43900
66700,49800
34400,26000
37700,26800
86300,43900
52800,37100
55700,45600
59900,41300
63900,39400
57100,36200
72300,36900
76000,43900
31900,28200
41000,32500
54400,37300
46600,34500
49700,31600
60600,40100
112800,52600
38800,27300
50300,37900
49200,37600
73600,40900
57400,41400
53700,43200
34600,26900
52900,39400
,
,
108000,56100
61100,32100
,
,
,
91800,53900
,
102600,60400
82400,54000
93200,48900
89100,49600
,
82800,53900
67800,33400
109400,42300
60500,32500
64000,38000
85300,41700
,
64100,57000
88400,52600
,
76900,46100
,
57800,45500
43600,28500
56800,42000
67700,39800
55300,37200
59000,43600
66600,48200
50000,34800
97600,45400
56000,38800
54500,33300
75400,41800
53800,33300
55500,38000
64400,41400
54600,40600
55200,41400
58100,39100
60500,41800
99000,55100
58800,44300
49500,38900
,
49300,41800
38800,29500
55300,40300
49700,38200
50600,43800
54200,38500
56600,39700
53100,43900
69900,44100
53900,39500
48100,32100
48400,36600
46600,48500
46300,33500
52600,38200
75100,47200
54300,43600
42100,41200
67900,42100
66800,47800
57100,40300
46300,32600
50200,38100
46800,34700
57700,44700
42700,39100
48900,34700
52900,34700
50600,40200
37000,28300
45200,38300
34500,29700
40900,33200
51000,38900
47600,42300
65400,43400
43700,42400
44200,39000
53600,38900
46300,33800
37200,35100
,
45700,37500
36900,37200
47500,35500
48200,41100
35500,28800
50800,43900
44900,34500
42300,39900
68400,44200
48700,36500
78100,41500
47900,41800
38800,29300
74800,46300
43500,38100
34100,40000
73800,44000
46600,44300
42500,40000
41100,38600
60700,40300
41900,40700
70500,45700
55300,42300
50000,33300
51100,37300
113800,52400
,
76400,45900
69600,43000
66400,43700
57600,46200
141600,57800
58000,38000
99400,49800
64600,41400
57100,41700
66800,40400
50600,40600
71900,48700
68400,47500
58100,41200
57900,40600
68100,46200
84000,46300
60000,39600
246100,65800
62300,65100
64900,41100
56100,44900
56200,47000
72100,49000
78100,44600
113700,55000
78700,48300
112300,53900
113500,53400
71300,49200
71500,42100
81500,45700
81100,46300
69500,43900
92400,49000
137200,64200
74900,45600
84700,48000
181100,63500
97500,48200
173300,60300
102400,48800
68200,44300
,
54900,44100
84700,50500
105100,50400
72500,43400
61600,45700
50300,39800
49300,41200
55300,40800
66700,46800
104700,52200
84500,51500
50100,42400
71100,42900
55600,42200
151700,57000
60100,41700
,
,
136300,55400
65800,48000
,
,
43900,43300
,
,
,
56200,52100
85500,39200
,
161100,61700
158200,53900
90400,48400
89200,44900
62100,44700
84800,49800
,
77100,44000
91500,48200
,
47200,41300
,
116800,55100
,
59400,61500
62800,43500
79300,49800
99800,52100
45500,43100
,
69400,52500
76000,50100
,
72000,52200
59400,45700
62700,44300
57000,51200
52700,42300
,
74600,49100
,
478400,57400
51100,46300
67100,40700
81600,65900
59200,42600
101800,62500
42800,38100
,
,
,
122000,51600
85800,46800
,
75900,49100
58800,58300
230700,68200
115000,57000
106400,57600
109700,59700
97100,55200
96100,51900
107800,61300
77200,48300
67100,43200
104100,51800
63100,39400
92700,36900
70000,41000
53000,38300
57400,38600
46100,35100
67400,42100
86000,45100
44800,36600
67000,40500
51200,36300
69800,42000
91000,41400
51300,35500
45100,30400
35200,33700
68900,39000
58700,37000
54500,37500
40500,28400
36900,26400
41600,37000
,
45800,31700
40000,31400
47200,40200
50900,33700
52500,38300
52800,35600
73300,40700
40000,36200
89700,41400
46700,34100
44200,30400
,
60800,35000
76400,41000
78000,41400
39100,37500
,
40800,30600
74200,38300
53300,36800
111400,43300
72200,42200
78400,43900
66000,38400
68800,42000
50900,36300
67200,38700
51200,35600
101400,45400
52700,37600
74200,41600
57500,39000
45100,33300
92000,46100
57300,35500
66000,43400
94100,46100
87200,48300
42600,32900
43800,37700
54000,36300
44000,33900
57900,38000
47600,35700
44100,33600
41100,36900
51200,38600
38500,29800
50900,33900
,
57900,33000
56000,39200
62500,36400
66000,38600
53200,34700
49400,36800
72400,35200
51900,35900
47500,34400
38800,28400
76700,43900
58000,37100
47400,36200
53900,33300
37900,29300
64300,38800
48100,31900
65800,40700
71100,43000
56100,39700
70500,34800
,
47800,36500
96500,47700
78900,39100
,
65000,35000
47100,31100
123500,53600
54000,33500
51900,33900
88700,47700
44800,37200
75500,38800
,
45100,28300
54900,40700
81000,37300
46500,33400
81700,37100
49500,37500
43000,30800
60100,31800
75500,42900
48900,29400
,
67300,44000
46500,32600
39900,32300
42900,31100
48700,34700
135700,57700
67800,37800
101800,52700
56800,36700
115800,38500
50100,39000
,
73900,39000
57100,38800
45600,33200
43600,26800
95900,48300
60600,41200
83600,42300
37400,24900
53600,40300
64700,39800
51300,36600
47300,30900
80900,44400
75300,43000
46900,36100
59700,36900
52500,33900
50600,36100
40700,29600
43200,28800
40400,30400
63000,38300
50300,33200
,
58900,33800
68800,40800
52200,33500
52000,32400
,
63900,38600
57400,37800
56600,41900
38000,29800
39600,27200
55500,35600
,
45900,28500
45500,32700
39400,28900
61800,33900
38400,29700
62200,34100
54600,33000
65000,34400
52600,28300
90700,47200
51200,36600
73900,39400
55300,32600
64100,38600
49300,37500
74600,39200
49700,33700
50400,30500
54000,31500
,
59300,35300
36500,27500
65900,36400
70900,38000
,
46100,32200
51800,35400
55700,36800
56500,38100
,
54500,30300
39100,30900
,
45800,31500
42200,30600
40000,28700
38500,28600
58900,33200
53800,35500
57700,38100
,
41400,32200
70300,36000
36200,28000
44300,26800
56100,38700
50500,34600
57900,36700
63700,34600
48500,35400
33900,24800
51400,34700
53600,37700
,
,
53700,43600
92000,38900
46500,36900
48400,32500
51800,31000
50000,35500
63600,38500
84300,48200
,
63800,44000
71400,42600
101500,48100
,
74300,44000
61100,51100
54700,42700
66000,44800
122400,54400
,
61800,44900
87800,48400
52100,41300
,
,
65300,40000
71300,51600
68600,47700
,
57600,45000
,
59700,42800
62000,49100
54000,46700
57500,42600
57300,41600
52200,44800
64300,48900
62000,43400
71800,46300
71000,48100
52600,42600
50400,45100
,
76000,55600
56500,49900
75100,48600
,
47800,40200
56100,58700
65500,47900
48700,42700
58300,48100
67500,44800
73200,43000
51700,45500
74900,50300
41900,31600
68500,48900
95200,48100
,
71900,52800
,
74100,51600
61600,50500
92100,52400
67500,51000
61300,51100
54900,42900
79200,60400
74400,46400
92500,46700
65000,48700
61500,49200
90600,54000
74000,50400
69800,51500
164500,69600
62100,50200
61200,51900
86900,56500
57500,46800
