id,county,state,sample size,relative,absolute
1001,Autauga,AL,"1,846",0.444,38.4
1003,Baldwin,AL,"5,061",0.336,39.6
1005,Barbour,GA,"1,129",0.398,36.1
1007,Bibb,AL,841,0.434,39.1
1009,Blount,AL,"1,224",0.317,42.0
1011,Bullock,AL,514,0.365,34.2
1013,Butler,AL,"1,051",0.494,37.9
1015,Calhoun,GA,"4,985",0.399,38.3
1017,Chambers,GA,"1,489",0.386,35.4
1019,Cherokee,GA,683,0.404,37.0
1021,Chilton,AL,"1,259",0.363,40.3
1023,Choctaw,AL,687,0.337,40.5
1025,Clarke,AL,"1,425",0.387,39.9
1027,Clay,AL,540,0.356,40.9
1029,Cleburne,GA,493,0.404,43.9
1031,Coffee,AL,"1,772",0.394,41.0
1033,Colbert,AL,"1,986",0.419,38.8
1035,Conecuh,AL,635,0.359,38.5
1037,Coosa,AL,474,0.291,37.9
1039,Covington,AL,"1,534",0.417,43.4
1041,Crenshaw,AL,512,0.373,44.0
1043,Cullman,AL,"2,753",0.335,42.2
1045,Dale,AL,"1,946",0.402,39.8
1047,Dallas,AL,"2,503",0.413,35.5
1049,De Kalb,AL,"2,215",0.352,42.4
1051,Elmore,AL,"2,674",0.376,39.1
1053,Escambia,AL,"1,506",0.407,40.2
1055,Etowah,AL,"3,580",0.395,39.3
1057,Fayette,AL,655,0.530,42.8
1059,Franklin,AL,"1,170",0.371,42.6
1061,Geneva,AL,962,0.486,38.6
1063,Greene,AL,508,0.330,34.8
1065,Hale,AL,912,0.413,37.2
1067,Henry,AL,666,0.370,37.7
1069,Houston,AL,"3,647",0.406,38.1
1071,Jackson,AL,"2,143",0.385,42.1
1073,Jefferson,AL,"26,772",0.407,36.2
1075,Lamar,AL,669,0.443,44.3
1077,Lauderdale,AL,"3,182",0.340,42.2
1079,Lawrence,AL,"1,064",0.349,40.6
1081,Lee,AL,"3,272",0.384,36.7
1083,Limestone,AL,"2,154",0.377,38.9
1085,Lowndes,AL,639,0.349,34.7
1087,Macon,AL,825,0.334,33.7
1089,Madison,AL,"9,941",0.373,37.1
1091,Marengo,AL,965,0.432,37.8
1093,Marion,AL,"1,053",0.392,43.2
1095,Marshall,AL,"3,336",0.339,41.7
1097,Mobile,AL,"16,553",0.399,37.4
1099,Monroe,AL,"1,095",0.389,38.1
1101,Montgomery,AL,"9,031",0.439,34.3
1103,Morgan,AL,"4,652",0.357,38.8
1105,Perry,AL,543,0.420,36.0
1107,Pickens,MS,911,0.469,37.7
1109,Pike,AL,"1,153",0.427,40.0
1111,Randolph,GA,890,0.371,38.2
1113,Russell,GA,"2,365",0.354,35.7
1115,St Clair,AL,"2,076",0.323,40.8
1117,Shelby,AL,"4,593",0.363,40.4
1119,Sumter,AL,674,0.349,35.7
1121,Talladega,AL,"3,118",0.417,37.4
1123,Tallapoosa,AL,"1,452",0.481,38.0
1125,Tuscaloosa,AL,"5,735",0.410,37.3
1127,Walker,AL,"2,904",0.330,41.1
1129,Washington,AL,879,0.393,43.1
1131,Wilcox,AL,771,0.445,35.1
1133,Winston,AL,"1,049",0.420,41.1
2013,Aleutians East,AK,,,
2016,Aleutians West,AK,,,
2020,Anchorage,AK,"10,071",0.285,44.1
2050,Bethel,AK,647,0.294,34.1
2060,Bristol Bay,AK,,,
2068,Denali,AK,,,
2070,Dillingham,AK,,,
2090,Fairbanks North Star,AK,"3,491",0.263,45.0
2100,Haines,AK,,,
2110,Juneau,AK,"1,308",0.298,41.7
2122,Kenai Peninsula,AK,"2,487",0.259,47.3
2130,Ketchikan Gateway,AK,662,0.214,43.8
2150,Kodiak Island,AK,601,0.231,45.7
2164,Lake and Peninsula,AK,,,
2170,Matanuska Susitna,AK,"2,768",0.234,47.7
2180,Nome,AK,363,0.429,30.7
2185,North Slope,AK,313,0.355,31.2
2188,Northwest Arctic,AK,283,0.350,31.3
2201,Prince Wales Ketchikan,AK,288,0.302,38.6
2220,Sitka,AK,373,0.283,38.0
2232,Skagway Hoonah Angoon,AK,,,
2240,Southeast Fairbanks,AK,345,0.179,50.7
2261,Valdez Cordova,AK,479,0.281,45.9
2270,Wade Hampton,AK,,,
2280,Wrangell Petersburg,AK,319,0.244,44.2
2282,Yakutat,AK,,,
2290,Yukon Koyukuk,AK,305,0.384,41.9
4001,Apache,AZ,"3,865",0.287,34.6
4003,Cochise,AZ,"4,417",0.265,42.9
4005,Coconino,AZ,"5,013",0.278,39.5
4007,Gila,AZ,"2,089",0.346,38.2
4009,Graham,AZ,"1,306",0.301,44.7
4011,Greenlee,AZ,495,0.333,44.4
4012,La Paz,CA,584,0.380,37.2
4013,Maricopa,AZ,"91,687",0.287,40.7
4015,Mohave,NV,"4,481",0.292,40.4
4017,Navajo,AZ,"4,439",0.313,35.8
4019,Pima,AZ,"26,123",0.305,39.0
4021,Pinal,AZ,"5,403",0.330,36.1
4023,Santa Cruz,AZ,"1,708",0.181,43.0
4025,Yavapai,AZ,"4,777",0.235,43.2
4027,Yuma,CA,"5,447",0.241,44.0
5001,Arkansas,AR,924,0.413,39.8
5003,Ashley,AR,"1,108",0.387,38.6
5005,Baxter,AR,"1,166",0.294,43.5
5007,Benton,AR,"5,113",0.298,44.0
5009,Boone,AR,"1,323",0.308,44.8
5011,Bradley,AR,468,0.460,40.7
5013,Calhoun,AR,,,
5015,Carroll,AR,861,0.285,44.4
5017,Chicot,AR,722,0.456,35.1
5019,Clark,AR,787,0.366,41.0
5021,Clay,AR,661,0.346,42.3
5023,Cleburne,AR,793,0.256,46.8
5025,Cleveland,AR,336,0.377,40.2
5027,Columbia,AR,"1,109",0.394,39.6
5029,Conway,AR,727,0.429,42.9
5031,Craighead,AR,"2,722",0.343,41.2
5033,Crawford,AR,"2,158",0.336,41.0
5035,Crittenden,AR,"2,274",0.460,33.5
5037,Cross,AR,873,0.381,39.0
5039,Dallas,AR,404,0.428,37.1
5041,Desha,AR,827,0.411,36.4
5043,Drew,AR,709,0.459,38.1
5045,Faulkner,AR,"3,016",0.341,43.3
5047,Franklin,AR,654,0.264,45.4
5049,Fulton,MO,380,0.324,44.8
5051,Garland,AR,"2,785",0.366,40.2
5053,Grant,AR,595,0.403,43.4
5055,Greene,AR,"1,338",0.344,40.7
5057,Hempstead,AR,872,0.330,37.8
5059,Hot Spring,AR,"1,164",0.375,39.7
5061,Howard,AR,696,0.368,39.0
5063,Independence,AR,"1,384",0.320,44.3
5065,Izard,AR,400,0.312,44.1
5067,Jackson,AR,621,0.379,38.6
5069,Jefferson,AR,"3,717",0.424,35.7
5071,Johnson,AR,821,0.342,43.5
5073,Lafayette,AR,342,0.485,36.1
5075,Lawrence,AR,815,0.357,43.2
5077,Lee,AR,489,0.350,37.4
5079,Lincoln,AR,524,0.335,38.4
5081,Little River,TX,611,0.255,41.4
5083,Logan,AR,927,0.395,43.1
5085,Lonoke,AR,"2,298",0.354,39.9
5087,Madison,AR,547,0.325,43.4
5089,Marion,AR,501,0.230,44.1
5091,Miller,TX,"1,638",0.401,38.1
5093,Mississippi,AR,"2,425",0.407,36.9
5095,Monroe,AR,512,0.435,39.8
5097,Montgomery,AR,,,
5099,Nevada,AR,413,0.391,39.8
5101,Newton,AR,317,0.380,42.9
5103,Ouachita,AR,"1,315",0.416,37.5
5105,Perry,AR,440,0.339,44.0
5107,Phillips,AR,"1,367",0.470,35.0
5109,Pike,AR,404,0.323,45.3
5111,Poinsett,AR,"1,064",0.439,38.0
5113,Polk,OK,842,0.307,45.3
5115,Pope,AR,"2,170",0.335,41.4
5117,Prairie,AR,335,0.301,40.5
5119,Pulaski,AR,"14,756",0.407,35.8
5121,Randolph,AR,631,0.358,43.0
5123,St Francis,AR,"1,387",0.435,35.1
5125,Saline,AR,"2,226",0.356,40.6
5127,Scott,AR,444,0.415,42.7
5129,Searcy,AR,314,0.257,46.9
5131,Sebastian,AR,"4,160",0.365,40.2
5133,Sevier,OK,592,0.363,44.3
5135,Sharp,AR,637,0.331,43.7
5137,Stone,AR,362,0.368,40.0
5139,Union,AR,"2,018",0.455,37.4
5141,Van Buren,AR,504,0.256,45.4
5143,Washington,AR,"5,336",0.325,42.8
5145,White,AR,"2,679",0.344,42.8
