county state,absolute mobility
Autauga AL,38.4
Baldwin AL,39.6
Barbour AL,36.1
Bibb AL,39.1
Blount AL,42
Bullock AL,34.2
Butler AL,37.9
Calhoun GA,38.3
Calhoun GA,35.3
Calhoun GA,38.3
Calhoun GA,35.3
Chambers GA,35.4
Cherokee GA,37
Cherokee AL,42.1
Cherokee GA,37
Cherokee GA,42.1
Chilton AL,40.3
Choctaw AL,40.5
Clarke AL,39.9
Clay AL,40.9
Cleburne GA,43.9
Coffee AL,41
Colbert AL,38.8
Conecuh AL,38.5
Coosa AL,37.9
Covington AL,43.4
Crenshaw AL,44
Cullman AL,42.2
Dale AL,39.8
Dallas AL,35.5
De Kalb AL,42.4
Elmore AL,39.1
Escambia AL,40.2
Etowah AL,39.3
Fayette AL,42.8
Franklin AL,42.6
Geneva AL,38.6
Greene AL,34.8
Hale AL,37.2
Henry AL,37.7
Houston AL,38.1
Jackson AL,42.1
Jefferson AL,36.2
Lamar AL,44.3
Lauderdale AL,42.2
Lawrence AL,40.6
Lawrence AL,41.2
Lawrence AL,40.6
Lawrence AL,41.2
Lee AL,36.7
Limestone AL,38.9
Lowndes AL,34.7
Macon AL,33.7
Madison AL,37.1
Marengo AL,37.8
Marion AL,43.2
Marshall AL,41.7
Mobile AL,37.4
Monroe AL,38.1
Montgomery AL,34.3
Morgan AL,38.8
Perry AL,36
Pickens MS,37.7
Pike AL,40
Randolph GA,38.2
Randolph AL,35.3
Randolph GA,38.2
Randolph GA,35.3
Russell AL,35.7
St Clair AL,40.8
Shelby AL,40.4
Sumter AL,35.7
Talladega AL,37.4
Tallapoosa AL,38
Tuscaloosa AL,37.3
Walker AL,41.1
Washington AL,43.1
Wilcox AL,35.1
Winston AL,41.1
Aleutians East AK,
Aleutians West AK,
Anchorage AK,44.1
Bethel AK,34.1
Bristol Bay AK,
Denali AK,
Dillingham AK,
Fairbanks North Star AK,45
Haines AK,
Juneau AK,41.7
Kenai Peninsula AK,47.3
Ketchikan Gateway AK,43.8
Kodiak Island AK,45.7
Lake and Peninsula AK,
Matanuska Susitna AK,47.7
Nome AK,30.7
North Slope AK,31.2
Northwest Arctic AK,31.3
Prince Wales Ketchikan AK,38.6
Sitka AK,38
Skagway Hoonah Angoon AK,
Southeast Fairbanks AK,50.7
Valdez Cordova AK,45.9
Wade Hampton AK,
Wrangell Petersburg AK,44.2
Yakutat AK,
Yukon Koyukuk AK,41.9
Apache AZ,34.6
Cochise AZ,42.9
Coconino AZ,39.5
Gila AZ,38.2
Graham AZ,44.7
Greenlee AZ,44.4
La Paz AZ,37.2
Maricopa AZ,40.7
Mohave AZ,40.4
Navajo AZ,35.8
Pima AZ,39
Pinal AZ,36.1
Santa Cruz AZ,43
Yavapai AZ,43.2
Yuma AZ,44
Arkansas AR,39.8
Ashley AR,38.6
Baxter AR,43.5
Benton AR,44
Boone AR,44.8
Bradley AR,40.7
Calhoun AR,
Carroll AR,44.4
Chicot AR,35.1
Clark AR,41
Clay AR,42.3
Cleburne AR,46.8
Cleveland AR,40.2
Columbia AR,39.6
Conway AR,42.9
Craighead AR,41.2
Crawford AR,41
Crittenden AR,33.5
Cross AR,39
Dallas AR,37.1
Desha AR,36.4
Drew AR,38.1
Faulkner AR,43.3
Franklin AR,45.4
Fulton AR,44.8
Garland AR,40.2
Grant AR,43.4
Greene AR,40.7
Hempstead AR,37.8
Hot Spring AR,39.7
Howard AR,39
Independence AR,44.3
Izard AR,44.1
Jackson AR,38.6
Jefferson AR,35.7
Johnson AR,43.5
Lafayette AR,36.1
Lawrence AR,43.2
Lee AR,37.4
Lincoln AR,38.4
Little River TX,41.4
Logan AR,43.1
Lonoke AR,39.9
Madison AR,43.4
Marion AR,44.1
Miller TX,38.1
Mississippi AR,36.9
Monroe AR,39.8
Montgomery AR,
Nevada AR,39.8
Newton AR,42.9
Ouachita AR,37.5
Perry AR,44
Phillips AR,35
Pike AR,45.3
Poinsett AR,38
Polk AR,45.3
Pope AR,41.4
Prairie AR,40.5
Pulaski AR,35.8
Randolph AR,43
St Francis AR,35.1
Saline AR,40.6
Scott AR,42.7
Searcy AR,46.9
Sebastian AR,40.2
Sevier OK,44.3
Sharp AR,43.7
Stone AR,40
Union AR,37.4
Van Buren AR,45.4
Washington AR,42.8
White AR,42.8
Woodruff AR,37.6
Yell AR,42.1
Alameda CA,42.5
Alpine CA,
Amador CA,44.2
Butte CA,41.3
Calaveras CA,42.8
Colusa CA,47.8
Contra Costa CA,43.6
Del Norte CA,38.6
El Dorado CA,45.6
Fresno CA,40.8
Glenn CA,43.6
Humboldt CA,38.9
Imperial CA,44
Inyo CA,43.7
Kern CA,45.3
Kings CA,42.2
Lake CA,40.4
Lassen CA,44.3
Los Angeles CA,43.3
Madera CA,41.7
Marin CA,46.7
Mariposa CA,45.1
Mendocino CA,40
Merced CA,42
Modoc CA,46.7
Mono CA,48.1
Monterey CA,43.6
Napa CA,47.3
Nevada CA,44.2
Orange CA,46.4
Placer CA,45.4
Plumas CA,44
Riverside CA,41.8
Sacramento CA,41.6
San Benito CA,43.8
San Bernardino CA,42
San Diego CA,44.3
San Francisco CA,47.8
San Joaquin CA,42.6
San Luis Obispo CA,45.1
San Mateo CA,47
Santa Barbara CA,44.4
Santa Clara CA,45.6
Santa Cruz CA,43.4
Shasta CA,41.9
Sierra CA,
Siskiyou CA,44.5
Solano CA,42.8
Sonoma CA,43.6
Stanislaus CA,42.2
Sutter CA,44.6
Tehama CA,41.4
Trinity CA,42.5
Tulare CA,42.1
Tuolumne CA,44.8
Ventura CA,44.5
Yolo CA,44.3
Yuba CA,42.4
Adams CO,41.7
Alamosa CO,44.1
Arapahoe CO,44
Archuleta NM,43.7
Baca CO,
Bent CO,
Boulder CO,46.8
Chaffee CO,48.1
Cheyenne CO,
Clear Creek CO,
Conejos CO,48
Costilla CO,
Crowley CO,
Custer CO,
Delta CO,50.3
Denver CO,37.6
Dolores CO,
Douglas CO,47.9
Eagle CO,45.9
Elbert CO,46.7
El Paso CO,41.2
Fremont CO,45.6
Garfield CO,49.3
Gilpin CO,
Grand CO,42.7
Gunnison CO,48.3
Hinsdale CO,
Huerfano CO,43.2
Jackson WY,
Jefferson CO,45.4
Kiowa CO,
Kit Carson CO,55.5
Lake CO,43
La Plata CO,47.8
Larimer CO,45.4
Las Animas CO,45.5
Lincoln CO,
Logan CO,50.1
Mesa CO,46.6
Mineral CO,
Moffat CO,48.6
Montezuma CO,46.4
Montrose CO,45.1
Morgan CO,47.8
Otero CO,43.2
Ouray CO,
Park CO,48.6
Phillips CO,
Pitkin CO,42
Prowers CO,48.3
Pueblo CO,39.2
Rio Blanco CO,56.7
Rio Grande CO,44.8
Routt CO,50.9
Saguache CO,45.3
San Juan NM,40.3
San Juan NM,40.3
San Miguel CO,
Sedgwick NE,
Summit CO,48.4
Teller CO,45.6
Washington CO,
Weld CO,44.3
Yuma CO,54.3
Fairfield CT,42.9
Hartford CT,41.6
Litchfield CT,44.3
Middlesex CT,44.7
New Haven CT,41.9
New London CT,42.8
Tolland CT,46.1
Windham CT,42.9
Kent DE,39.7
New Castle DE,37.1
Sussex DE,37.9
District of Columbia DC,35.8
Alachua FL,38.1
Baker FL,39.6
Bay FL,39.7
Bradford FL,38.9
Brevard FL,39.5
Broward FL,40.3
Calhoun FL,40.3
Charlotte FL,41.9
Citrus FL,40.8
Clay FL,40.9
Collier FL,40.4
Columbia FL,38.3
De Soto FL,37
Dixie FL,41.1
Duval FL,36.7
Escambia FL,38.1
Flagler FL,40.2
Franklin FL,36
Gadsden FL,33.8
Gilchrist FL,41.3
Glades FL,
Gulf FL,36.1
Hamilton FL,37.3
Hardee FL,40.7
Hendry FL,38.8
Hernando FL,40.4
Highlands FL,39.5
Hillsborough FL,38.7
Holmes FL,41.6
Indian River FL,38.9
Jackson FL,40
Jefferson FL,36.7
Lafayette FL,
Lake FL,38.1
Lee FL,39.1
Leon FL,37.8
Levy FL,38.6
Liberty FL,
Madison FL,35.4
Manatee FL,37.5
Marion FL,38.3
Martin FL,39.1
Miami-Dade FL,42
Monroe FL,43.7
Nassau FL,37.7
Okaloosa FL,40.8
Okeechobee FL,39
Orange FL,38.5
Osceola FL,40.2
Palm Beach FL,39.3
Pasco FL,39.1
Pinellas FL,39.6
Polk FL,39.3
Putnam FL,36.9
St Johns FL,39.3
St Lucie FL,37.6
Santa Rosa FL,42.8
Sarasota FL,40.2
Seminole FL,41.3
Sumter FL,37.6
Suwannee FL,41.1
Taylor FL,39.8
Union FL,38.1
Volusia FL,39.6
Wakulla FL,39.5
Walton FL,39.5
Washington FL,40.7
Appling GA,39.1
Atkinson GA,37.6
Bacon GA,37.4
Baker GA,
Baldwin GA,32.9
Banks GA,40.8
Barrow GA,37.6
Bartow GA,37.4
Ben Hill GA,36.6
Berrien GA,40.4
Bibb GA,34
Bleckley GA,35.8
Brantley GA,38.7
Brooks GA,35.8
Bryan GA,38.8
Bulloch GA,35.4
Burke GA,35.4
Butts GA,36
Camden FL,38.4
Candler GA,34.5
Carroll GA,38.8
Catoosa TN,40.8
Charlton FL,40
Chatham GA,35
Chattahoochee GA,
Chattooga GA,38.8
Clarke GA,32.8
Clay GA,
Clayton GA,35.8
Clinch GA,36.7
Cobb GA,39.8
Coffee GA,36.4
Colquitt GA,36
Columbia GA,39.6
Cook GA,36.3
Coweta GA,35.9
Crawford GA,
Crisp GA,33.3
Dade TN,41.5
Dawson GA,38.2
Decatur GA,37.4
De Kalb GA,34.6
Dodge GA,39.8
Dooly GA,35.8
Dougherty GA,32.6
Douglas GA,39.5
Early GA,34.4
Echols GA,
Effingham GA,41
Elbert GA,36.2
Emanuel GA,37.8
Evans GA,36.2
Fannin GA,39.9
Fayette GA,43.7
Floyd GA,36.1
Forsyth GA,46.9
Franklin GA,38.9
Fulton GA,33.1
Gilmer GA,41.4
Glascock GA,
Glynn GA,35.5
Gordon GA,39.2
Grady GA,37
Greene GA,33.2
Gwinnett GA,41.3
Habersham GA,39.3
Hall GA,39.1
Hancock GA,33.3
Haralson GA,40.9
Harris GA,38.1
Hart GA,38.9
Heard GA,35.9
Henry GA,39.5
Houston GA,38.5
Irwin GA,37.2
Jackson GA,37.6
Jasper GA,34.4
Jasper SC,34.1
Jasper GA,34.4
Jasper GA,34.1
Jeff Davis GA,36.9
Jefferson GA,35
Jenkins GA,35.2
Johnson GA,34.3
Jones GA,37.5
Lamar GA,37.9
Lanier GA,
Laurens GA,35.4
Lee GA,40.6
Liberty GA,37.8
Lincoln GA,36.3
Long GA,
Lowndes GA,36.3
Lumpkin GA,40.9
McDuffie GA,35.9
McIntosh GA,36.4
Macon GA,33.8
Madison GA,36.6
Marion GA,
Meriwether GA,33.6
Miller GA,38.3
Mitchell GA,35.5
Monroe GA,35.2
Montgomery GA,38
Morgan GA,33.3
Murray GA,35.5
Muscogee GA,35.2
Newton GA,34.4
Oconee GA,40.5
Oglethorpe GA,35.9
Paulding GA,38.2
Peach GA,35.4
Pickens GA,39.3
Pierce GA,41.6
Pike GA,39.2
Polk GA,37.4
Pulaski GA,33.7
Putnam GA,34
Quitman GA,
Rabun GA,38.5
Richmond GA,35.8
Rockdale GA,39.8
Schley GA,
Screven GA,36.1
Seminole GA,37.6
Spalding GA,34.9
Stephens GA,38.7
Stewart GA,
Sumter GA,33.5
Talbot GA,33.5
Taliaferro GA,
Tattnall GA,36.5
Taylor GA,35.9
Telfair GA,36.9
Terrell GA,34.8
Thomas GA,36.1
Tift GA,35.9
Toombs GA,37.8
Towns NC,
Treutlen GA,39.2
Troup GA,35.3
Turner GA,34.6
Twiggs GA,33.7
Union NC,41.5
Union NC,38.6
Union NC,41.5
Union NC,38.6
Upson GA,36.8
Walker TN,38.3
Walton GA,36.8
Ware GA,37.2
Warren GA,32.7
Washington GA,34.3
Wayne GA,37.6
Webster GA,
Wheeler GA,
White GA,45
Whitfield GA,38.3
Wilcox GA,40
Wilkes GA,35.9
Wilkinson GA,32.3
Worth GA,38.6
Hawaii HI,40.1
Honolulu HI,44.8
Kalaupapa HI,
Kauai HI,43.6
Maui HI,42.2
Ada ID,42.6
Adams ID,
Bannock ID,43.1
Bear Lake ID,53.8
Benewah ID,45.6
Bingham ID,46.3
Blaine ID,43.1
Boise ID,
Bonner ID,45.7
Bonneville ID,45.5
Boundary ID,46.2
Butte ID,
Camas ID,
Canyon ID,41.6
Caribou ID,53.4
Cassia ID,48.2
Clark ID,
Clearwater ID,46.7
Custer ID,
Elmore ID,44.1
Franklin UT,54.8
Fremont ID,49.6
Gem ID,45.5
Gooding ID,46.3
Idaho ID,48.5
Jefferson ID,49.1
Jerome ID,45.2
Kootenai ID,44.8
Latah ID,46.3
Lemhi ID,46.2
Lewis ID,46.9
Lincoln ID,
Madison ID,51.6
Minidoka ID,49.2
Nez Perce ID,43.6
Oneida UT,
Owyhee ID,46
Payette ID,43.9
Power ID,46.9
Shoshone ID,43.4
Teton WY,50.1
Teton WY,50.4
Teton WY,50.1
Teton WY,50.4
Twin Falls ID,45.5
Valley ID,43.3
Washington OR,45.7
Washington ID,43.1
Washington OR,45.7
Washington OR,43.1
Adams IL,45.4
Alexander IL,35.7
Bond IL,43.3
Boone IL,42.9
Brown IL,
Bureau IL,47.2
Calhoun IL,
Carroll IL,46.8
Cass IL,44.4
Champaign IL,40.5
Christian IL,45.1
Clark IL,47.5
Clay IL,44.5
Clinton IL,52.3
Coles IL,40.9
Cook IL,38
Crawford IL,43.7
Cumberland IL,44
De Kalb IL,45.3
Dewitt IL,46.3
Douglas IL,48.8
Du Page IL,49
Edgar IL,45.7
Edwards IL,49
Effingham IL,50.3
Fayette IL,45.6
Ford IL,47.8
Franklin IL,45.3
Fulton IL,44.1
Gallatin IL,50.5
Greene IL,48.2
Grundy IL,46.8
Hamilton IL,49.4
Hancock IA,51.4
Hancock IA,55.1
Hancock IA,51.4
Hancock IA,55.1
Hardin IL,
Henderson IA,50.4
Henry IL,46.9
Iroquois IL,47.4
Jackson IL,40.5
Jasper IL,53
Jefferson IL,43
Jersey IL,46.4
Jo Daviess IA,50.3
Johnson IL,44.4
Kane IL,41.4
Kankakee IL,40.9
Kendall IL,49.2
Knox IL,41.7
Lake IL,42.7
La Salle IL,45.2
Lawrence IN,44.8
Lawrence IN,39.7
Lawrence IN,44.8
Lawrence IN,39.7
Lee IL,45.2
Livingston IL,46.9
Logan IL,45.1
McDonough IL,48.2
McHenry IL,46.7
Mclean IL,42.7
Macon IL,39.5
Macoupin IL,44.3
Madison IL,41.4
Marion IL,40.8
Marion MO,44.5
Marion IL,40.8
Marion IL,44.5
Marshall IL,47.4
Mason IL,43.1
Massac KY,41.4
Menard IL,46.8
Mercer IL,50.8
Monroe MO,51.1
Monroe MO,47.5
Monroe MO,51.1
Monroe MO,47.5
Montgomery IL,44.2
Morgan IL,41.4
Moultrie IL,45.8
Ogle IL,45.8
Peoria IL,37.9
Perry IL,45.2
Piatt IL,46.6
Pike IL,47.4
Pike MO,43.8
Pike IL,47.4
Pike IL,43.8
Pope KY,
Pulaski IL,38.6
Putnam IL,42.6
Randolph IL,47.7
Richland IL,46.2
Rock Island IL,42
St Clair MO,37.6
St Clair MO,44.3
St Clair MO,37.6
St Clair MO,44.3
Saline IL,42.8
Sangamon IL,39.4
Schuyler IL,47.9
Scott IL,42.6
Scott IL,42.6
Shelby IL,45.9
Stark IL,50.1
Stephenson IL,42.5
Tazewell IL,43.9
Union IL,42.8
Vermilion IN,40.8
Wabash IN,44.8
Wabash IN,41.2
Wabash IN,44.8
Wabash IN,41.2
Warren IL,45
Washington IL,50.6
Wayne IL,48.7
White IL,46.7
Whiteside IL,43.9
Will IL,42.4
Williamson IL,41.1
Winnebago IL,38
Woodford IL,48.3
Adams IN,45.3
Allen IN,38.6
Bartholomew IN,39
Benton IN,50
Blackford IN,39.7
Boone IN,42.6
Brown IN,44.1
Carroll IN,47.7
Carroll IN,39
Carroll IN,47.7
Carroll IN,39
Cass IN,42.1
Cass IN,40.6
Cass IN,42.1
Cass IN,40.6
Clark KY,39.4
Clark KY,35.5
Clark KY,39.4
Clark KY,35.5
Clay IN,43.6
Clinton IN,41.8
Crawford KY,42.6
Daviess IN,46.2
Dearborn IN,42.5
Decatur IN,42.8
De Kalb IN,41.2
Delaware IN,36.7
Dubois IN,52.7
Elkhart IN,41
Fayette IN,35.2
Floyd KY,39.7
Floyd KY,42
Floyd KY,39.7
Floyd KY,42
Fountain IN,44.6
Franklin IN,39.1
Fulton IN,42.7
Gibson IN,47.9
Grant IN,37.3
Greene IN,43.7
Hamilton IN,43.2
Hancock IN,42.5
Harrison KY,44.6
Harrison KY,39
Harrison KY,44.6
Harrison KY,39
Hendricks IN,45.3
Henry IN,39.8
Howard IN,37.3
Huntington IN,41.6
Jackson IN,42.4
Jasper IN,48.7
Jay IN,43.9
Jefferson IN,41.3
Jennings IN,40.4
Johnson IN,41.6
Knox IN,45.2
Kosciusko IN,43.7
Lagrange IN,49
Lake IN,39.4
La Porte IN,39.8
Madison IN,37.2
Marion IN,35
Marshall IN,43.3
Martin IN,44.3
Miami IN,40.7
Monroe IN,38.3
Montgomery IN,43.8
Morgan IN,41.2
Newton IN,45.7
Noble IN,42.8
Ohio IN,
Orange IN,41.4
Owen IN,39.1
Parke IN,44.1
Perry IN,45.6
Pike IN,48.7
Porter IN,44.8
Posey IN,44.6
Pulaski IN,45.4
Putnam IN,42.1
Randolph IN,42.5
Ripley IN,48.2
Rush IN,42.4
St Joseph IN,38.4
St Joseph IN,40.6
St Joseph IN,38.4
St Joseph IN,40.6
Scott IN,36.3
Shelby IN,41.7
Spencer IN,49.5
Starke IN,41.2
Steuben IN,41.5
Sullivan IN,44.5
Switzerland IN,42.5
Tippecanoe IN,42.4
Tipton IN,44.1
Union IN,44
Vanderburgh IN,39.2
Vermillion IN,42.7
Vigo IN,40.4
Warren IN,
Warrick IN,44.6
Washington KY,41.4
Washington KY,44.4
Washington KY,41.4
Washington KY,44.4
Wayne IN,37.4
Wells IN,45.6
